"Service";"Work_accident";"Niveau de satisfaction";"Contrat";"Durée hebdo";"%variable_moyen";"Augmentation";"Promotion";"Sexe";"Age";"Is_enfant";"id_salarie";"tranche_salarial";"tranche_age"
"Marketing";"Non";69;"CDI";35;4;0;0;"F";42;1;57;"9000€-10000€";"40 ans-40 ans"
"Consultant";"Non";13;"CDI";35;32;0;0;"H";57;1;58;"3000€-4000€";"50 ans-60 ans"
"Compta Finances";"Non";25;"CDI";35;26;1;0;"F";43;0;59;"8000€-9000€";"40 ans-40 ans"
"Informatique";"Non";32;"CDI";35;11;0;0;"H";50;0;60;"5000€-6000€";"50 ans-60 ans"
"Marketing";"Non";40;"CDI";35;18;0;1;"F";33;1;61;"1000€-2000€";"30 ans-40 ans"
"RH";"Non";20;"CDI";35;33;0;0;"F";53;0;62;"5000€-6000€";"50 ans-60 ans"
"Compta Finances";"Non";66;"CDI";35;7;1;0;"H";60;1;63;"7000€-8000€";"60 ans ou plus"
"Informatique";"Non";77;"CDI";35;5;1;0;"H";47;1;64;"9000€-10000€";"40 ans-40 ans"
"Marketing";"Non";59;"CDI";35;27;0;0;"H";36;1;65;"7000€-8000€";"30 ans-40 ans"
"Consultant";"Non";92;"CDI";35;19;0;0;"F";36;1;66;"2000€-3000€";"30 ans-40 ans"
"Consultant";"Non";87;"CDI";35;39;1;0;"F";47;1;67;"1000€-2000€";"40 ans-40 ans"
"Consultant";"Non";72;"CDI";35;24;1;0;"F";44;1;68;"6000€-7000€";"40 ans-40 ans"
"Consultant";"Oui";59;"CDD";35;22;0;0;"H";37;1;69;"2000€-3000€";"30 ans-40 ans"
"Marketing";"Non";69;"CDI";35;33;0;0;"H";64;1;70;"3000€-4000€";"60 ans ou plus"
"Commercial";"Non";52;"CDI";35;38;1;1;"H";53;0;71;"9000€-10000€";"50 ans-60 ans"
"Compta Finances";"Non";4;"CDI";35;39;1;0;"F";50;0;72;"4000€-5000€";"50 ans-60 ans"
"RH";"Non";47;"CDI";35;9;0;0;"F";44;0;73;"7000€-8000€";"40 ans-40 ans"
"Informatique";"Non";41;"CDI";24;12;0;0;"H";56;1;74;"4000€-5000€";"50 ans-60 ans"
"Commercial";"Oui";31;"CDI";35;23;1;0;"H";53;1;75;"7000€-8000€";"50 ans-60 ans"
"RH";"Non";55;"CDI";35;39;1;0;"F";53;0;76;"5000€-6000€";"50 ans-60 ans"
"Commercial";"Non";58;"CDI";35;34;0;0;"F";58;1;77;"2000€-3000€";"50 ans-60 ans"
"Commercial";"Non";15;"CDI";35;20;1;0;"F";34;1;78;"9000€-10000€";"30 ans-40 ans"
"Commercial";"Non";15;"CDI";35;37;0;0;"H";37;1;79;"5000€-6000€";"30 ans-40 ans"
"Commercial";"Non";1;"CDI";24;17;1;0;"F";51;0;80;"4000€-5000€";"50 ans-60 ans"
"Compta Finances";"Non";6;"CDI";32;4;0;0;"F";42;1;81;"6000€-7000€";"40 ans-40 ans"
"Informatique";"Non";57;"CDI";24;17;0;0;"H";49;1;82;"6000€-7000€";"40 ans-40 ans"
"Commercial";"Non";86;"CDI";35;21;0;0;"H";50;1;83;"2000€-3000€";"50 ans-60 ans"
"Compta Finances";"Non";31;"CDI";35;6;1;0;"H";40;1;84;"1000€-2000€";"40 ans-40 ans"
"Commercial";"Non";61;"CDI";35;9;1;1;"F";57;1;85;"3000€-4000€";"50 ans-60 ans"
"Compta Finances";"Non";14;"CDI";35;34;1;0;"F";32;1;86;"4000€-5000€";"30 ans-40 ans"
"Compta Finances";"Non";44;"CDI";35;35;1;0;"F";27;1;87;"2000€-3000€";"20 ans-30 ans"
"Commercial";"Oui";84;"CDI";35;17;0;1;"F";32;1;88;"8000€-9000€";"30 ans-40 ans"
"Informatique";"Non";54;"CDI";35;5;1;0;"H";42;1;89;"7000€-8000€";"40 ans-40 ans"
"Marketing";"Non";73;"CDI";35;7;1;0;"F";39;1;90;"4000€-5000€";"30 ans-40 ans"
"RH";"Non";47;"CDI";24;27;0;0;"H";56;0;91;"2000€-3000€";"50 ans-60 ans"
"RH";"Non";29;"CDI";35;24;0;0;"F";51;1;92;"3000€-4000€";"50 ans-60 ans"
"RH";"Non";95;"CDI";35;24;0;0;"H";56;1;93;"5000€-6000€";"50 ans-60 ans"
"Marketing";"Non";37;"CDI";35;14;0;0;"H";56;1;94;"4000€-5000€";"50 ans-60 ans"
"Consultant";"Non";94;"CDI";35;36;1;0;"H";38;1;95;"5000€-6000€";"30 ans-40 ans"
"Commercial";"Oui";44;"CDI";35;18;1;0;"H";51;1;96;"8000€-9000€";"50 ans-60 ans"
"Consultant";"Non";8;"CDI";35;7;0;0;"H";51;1;97;"5000€-6000€";"50 ans-60 ans"
"Compta Finances";"Non";84;"CDI";35;1;1;0;"F";56;1;98;"9000€-10000€";"50 ans-60 ans"
"RH";"Non";99;"CDI";35;26;0;0;"F";54;1;99;"3000€-4000€";"50 ans-60 ans"
"RH";"Non";49;"CDI";35;1;0;1;"H";31;1;100;"3000€-4000€";"30 ans-40 ans"
"RH";"Non";86;"CDI";35;27;0;0;"H";35;1;101;"7000€-8000€";"30 ans-40 ans"
"Consultant";"Non";62;"CDI";28;10;1;0;"H";42;0;102;"5000€-6000€";"40 ans-40 ans"
"Consultant";"Non";59;"CDI";35;28;0;0;"F";42;1;103;"2000€-3000€";"40 ans-40 ans"
"Compta Finances";"Non";26;"CDI";35;37;0;0;"H";59;1;104;"8000€-9000€";"50 ans-60 ans"
"Consultant";"Oui";63;"CDI";35;19;0;0;"F";59;1;105;"6000€-7000€";"50 ans-60 ans"
"Marketing";"Non";25;"CDI";35;34;0;0;"F";53;1;106;"3000€-4000€";"50 ans-60 ans"
"Consultant";"Non";34;"CDI";35;22;0;0;"H";39;0;107;"4000€-5000€";"30 ans-40 ans"
"Consultant";"Non";50;"CDI";35;13;1;0;"H";36;1;108;"4000€-5000€";"30 ans-40 ans"
"RH";"Non";63;"CDI";35;36;1;0;"F";45;1;109;"7000€-8000€";"40 ans-40 ans"
"Consultant";"Non";2;"CDI";35;33;1;0;"H";50;1;110;"4000€-5000€";"50 ans-60 ans"
"Commercial";"Non";42;"CDI";35;30;1;0;"F";35;1;111;"3000€-4000€";"30 ans-40 ans"
"Consultant";"Non";100;"CDD";32;12;0;0;"H";50;1;112;"2000€-3000€";"50 ans-60 ans"
"RH";"Non";77;"CDI";35;10;0;0;"F";48;1;113;"5000€-6000€";"40 ans-40 ans"
"Marketing";"Non";25;"CDD";35;24;0;0;"H";39;1;114;"3000€-4000€";"30 ans-40 ans"
"Marketing";"Non";75;"CDI";35;14;0;0;"F";48;1;115;"8000€-9000€";"40 ans-40 ans"
"Consultant";"Non";82;"CDI";35;12;0;1;"F";61;0;116;"4000€-5000€";"60 ans ou plus"
"Commercial";"Oui";48;"CDI";35;7;0;0;"H";47;1;117;"9000€-10000€";"40 ans-40 ans"
"Consultant";"Non";37;"CDI";24;12;0;0;"H";60;1;118;"2000€-3000€";"60 ans ou plus"
"Compta Finances";"Oui";40;"CDI";35;7;1;1;"F";48;0;119;"2000€-3000€";"40 ans-40 ans"
"Marketing";"Non";92;"CDI";35;15;0;0;"H";39;1;120;"4000€-5000€";"30 ans-40 ans"
"Compta Finances";"Non";78;"CDI";35;34;0;0;"H";46;0;121;"9000€-10000€";"40 ans-40 ans"
"Marketing";"Oui";51;"CDI";35;38;1;0;"F";48;1;122;"4000€-5000€";"40 ans-40 ans"
"Commercial";"Oui";7;"CDI";35;32;0;0;"H";38;0;123;"6000€-7000€";"30 ans-40 ans"
"RH";"Non";69;"CDI";35;38;0;0;"F";33;1;124;"8000€-9000€";"30 ans-40 ans"
"Commercial";"Non";77;"CDI";35;6;1;0;"F";41;0;125;"7000€-8000€";"40 ans-40 ans"
"Marketing";"Non";37;"CDI";35;33;0;0;"H";43;1;126;"5000€-6000€";"40 ans-40 ans"
"RH";"Non";11;"CDI";24;14;0;0;"F";36;0;127;"4000€-5000€";"30 ans-40 ans"
"Informatique";"Oui";32;"CDI";35;5;0;0;"F";56;1;128;"4000€-5000€";"50 ans-60 ans"
"Commercial";"Non";44;"CDI";35;3;0;0;"F";47;0;129;"8000€-9000€";"40 ans-40 ans"
"Compta Finances";"Non";48;"CDI";35;31;0;0;"H";53;0;130;"4000€-5000€";"50 ans-60 ans"
"Compta Finances";"Non";84;"CDD";35;39;0;0;"F";57;1;131;"2000€-3000€";"50 ans-60 ans"
"RH";"Non";58;"CDI";35;27;1;1;"H";31;1;132;"9000€-10000€";"30 ans-40 ans"
"Marketing";"Non";29;"CDI";35;30;0;0;"F";47;1;133;"4000€-5000€";"40 ans-40 ans"
"Commercial";"Non";47;"CDI";35;14;1;0;"F";46;1;134;"6000€-7000€";"40 ans-40 ans"
"Consultant";"Non";66;"CDI";35;10;1;0;"H";57;1;135;"2000€-3000€";"50 ans-60 ans"
"Marketing";"Non";45;"CDI";35;24;0;0;"H";40;0;136;"9000€-10000€";"40 ans-40 ans"
"Commercial";"Non";95;"CDI";35;33;0;1;"H";37;1;137;"3000€-4000€";"30 ans-40 ans"
"Commercial";"Oui";13;"CDI";35;4;1;0;"F";41;0;138;"9000€-10000€";"40 ans-40 ans"
"Commercial";"Oui";14;"CDI";35;16;0;1;"H";34;0;139;"8000€-9000€";"30 ans-40 ans"
"Compta Finances";"Non";96;"CDI";35;38;0;1;"F";53;0;140;"8000€-9000€";"50 ans-60 ans"
"Informatique";"Non";4;"CDI";35;36;0;1;"H";59;1;141;"6000€-7000€";"50 ans-60 ans"
"Commercial";"Oui";39;"CDI";35;1;1;0;"H";48;1;142;"7000€-8000€";"40 ans-40 ans"
"Marketing";"Non";32;"CDI";35;22;1;0;"H";27;0;143;"1000€-2000€";"20 ans-30 ans"
"Consultant";"Non";5;"CDI";28;7;1;1;"H";49;1;144;"7000€-8000€";"40 ans-40 ans"
"Compta Finances";"Non";52;"CDI";35;8;0;0;"H";49;0;145;"4000€-5000€";"40 ans-40 ans"
"RH";"Non";87;"CDI";35;7;0;0;"H";42;1;146;"8000€-9000€";"40 ans-40 ans"
"Consultant";"Non";69;"CDI";35;2;0;0;"H";47;1;147;"2000€-3000€";"40 ans-40 ans"
"Compta Finances";"Non";28;"CDI";35;6;1;1;"H";51;1;148;"4000€-5000€";"50 ans-60 ans"
"Commercial";"Oui";40;"CDI";35;28;0;0;"H";35;1;149;"9000€-10000€";"30 ans-40 ans"
"Marketing";"Non";74;"CDI";35;28;0;0;"F";43;1;150;"4000€-5000€";"40 ans-40 ans"
"Compta Finances";"Non";42;"CDI";35;12;0;0;"F";38;1;151;"8000€-9000€";"30 ans-40 ans"
"Commercial";"Oui";42;"CDI";35;32;1;0;"H";45;1;152;"7000€-8000€";"40 ans-40 ans"
"Compta Finances";"Non";68;"CDI";24;1;0;1;"F";34;1;153;"1000€-2000€";"30 ans-40 ans"
"Commercial";"Non";98;"CDI";35;35;1;0;"F";38;1;154;"2000€-3000€";"30 ans-40 ans"
"Consultant";"Non";1;"CDI";35;39;1;0;"F";27;1;155;"3000€-4000€";"20 ans-30 ans"
"RH";"Non";39;"CDI";35;30;0;0;"H";42;1;156;"3000€-4000€";"40 ans-40 ans"
"Consultant";"Non";33;"CDI";24;19;0;1;"H";30;0;157;"4000€-5000€";"30 ans-40 ans"
"Commercial";"Non";21;"CDI";35;17;0;1;"F";35;1;158;"6000€-7000€";"30 ans-40 ans"
"Compta Finances";"Non";44;"CDI";35;20;1;1;"H";51;1;159;"1000€-2000€";"50 ans-60 ans"
"Consultant";"Non";80;"CDI";35;21;0;0;"H";53;1;160;"6000€-7000€";"50 ans-60 ans"
"Marketing";"Non";40;"CDI";35;35;0;1;"F";56;1;161;"2000€-3000€";"50 ans-60 ans"
"RH";"Non";84;"CDI";35;30;1;1;"H";54;1;162;"7000€-8000€";"50 ans-60 ans"
"Consultant";"Non";81;"CDI";35;8;1;0;"H";32;1;163;"1000€-2000€";"30 ans-40 ans"
"RH";"Non";23;"CDI";35;27;1;0;"F";50;1;164;"3000€-4000€";"50 ans-60 ans"
"Consultant";"Non";39;"CDI";35;34;0;0;"F";58;1;165;"6000€-7000€";"50 ans-60 ans"
"Commercial";"Oui";97;"CDI";35;33;1;1;"F";54;1;166;"2000€-3000€";"50 ans-60 ans"
"Commercial";"Non";17;"CDI";35;6;0;0;"H";46;1;167;"5000€-6000€";"40 ans-40 ans"
"Consultant";"Non";46;"CDI";35;26;1;0;"F";40;0;168;"4000€-5000€";"40 ans-40 ans"
"RH";"Non";90;"CDI";35;28;1;0;"H";54;1;169;"3000€-4000€";"50 ans-60 ans"
"Compta Finances";"Non";45;"CDD";35;38;;0;"F";26;1;170;"3000€-4000€";"20 ans-30 ans"
"Marketing";"Non";1;"CDI";24;32;1;0;"F";50;0;171;"5000€-6000€";"50 ans-60 ans"
"Marketing";"Non";38;"CDI";35;32;1;0;"F";39;1;172;"3000€-4000€";"30 ans-40 ans"
"Consultant";"Non";47;"CDI";35;16;1;0;"F";48;1;173;"1000€-2000€";"40 ans-40 ans"
"Marketing";"Non";96;"CDD";35;6;0;0;"F";45;1;174;"3000€-4000€";"40 ans-40 ans"
"Consultant";"Non";25;"CDI";35;3;1;0;"H";55;1;175;"9000€-10000€";"50 ans-60 ans"
"Commercial";"Oui";79;"CDI";35;21;0;0;"H";37;1;176;"2000€-3000€";"30 ans-40 ans"
"Marketing";"Oui";99;"CDI";35;3;1;0;"H";40;0;177;"3000€-4000€";"40 ans-40 ans"
"Commercial";"Non";52;"CDI";35;20;0;0;"F";35;1;178;"2000€-3000€";"30 ans-40 ans"
"RH";"Non";78;"CDI";35;10;0;0;"H";37;0;179;"8000€-9000€";"30 ans-40 ans"
"Consultant";"Non";50;"CDI";35;17;1;0;"F";26;1;180;"5000€-6000€";"20 ans-30 ans"
"Consultant";"Non";89;"CDI";35;38;1;0;"H";33;1;181;"7000€-8000€";"30 ans-40 ans"
"Commercial";"Non";78;"CDI";35;38;1;0;"F";45;1;182;"7000€-8000€";"40 ans-40 ans"
"Consultant";"Non";3;"CDI";35;4;1;0;"F";48;1;183;"2000€-3000€";"40 ans-40 ans"
"Informatique";"Non";93;"CDI";35;20;0;0;"H";32;1;184;"8000€-9000€";"30 ans-40 ans"
"Commercial";"Oui";62;"CDI";35;11;0;0;"H";48;1;185;"2000€-3000€";"40 ans-40 ans"
"Consultant";"Non";1;"CDI";35;0;1;0;"H";46;1;186;"9000€-10000€";"40 ans-40 ans"
"Compta Finances";"Oui";65;"CDI";35;35;0;0;"F";60;1;187;"7000€-8000€";"60 ans ou plus"
"Marketing";"Oui";70;"CDD";35;21;0;0;"F";49;1;188;"2000€-3000€";"40 ans-40 ans"
"RH";"Non";29;"CDI";35;38;0;0;"H";29;0;189;"6000€-7000€";"20 ans-30 ans"
"Commercial";"Non";76;"CDD";35;27;0;0;"F";52;1;190;"2000€-3000€";"50 ans-60 ans"
"RH";"Non";1;"CDI";35;20;1;1;"H";29;0;191;"9000€-10000€";"20 ans-30 ans"
"RH";"Non";46;"CDI";35;24;1;0;"F";32;1;192;"5000€-6000€";"30 ans-40 ans"
"Commercial";"Oui";86;"CDI";35;20;1;1;"F";39;1;193;"5000€-6000€";"30 ans-40 ans"
"Consultant";"Non";72;"CDI";35;12;1;1;"H";51;1;194;"9000€-10000€";"50 ans-60 ans"
"Compta Finances";"Non";32;"CDI";35;13;0;1;"F";58;1;195;"8000€-9000€";"50 ans-60 ans"
"Compta Finances";"Non";15;"CDI";35;6;0;0;"H";37;1;196;"1000€-2000€";"30 ans-40 ans"
"Consultant";"Non";51;"CDI";24;30;0;0;"H";53;1;197;"5000€-6000€";"50 ans-60 ans"
"Consultant";"Non";30;"CDI";24;14;1;0;"H";50;0;198;"1000€-2000€";"50 ans-60 ans"
"Consultant";"Non";77;"CDI";35;37;1;1;"F";41;1;199;"7000€-8000€";"40 ans-40 ans"
"Consultant";"Non";24;"CDD";35;8;0;0;"F";60;1;200;"3000€-4000€";"60 ans ou plus"
"Informatique";"Non";4;"CDI";35;26;1;0;"F";34;1;201;"6000€-7000€";"30 ans-40 ans"
"Compta Finances";"Non";17;"CDI";35;8;0;1;"H";54;1;202;"1000€-2000€";"50 ans-60 ans"
"Marketing";"Non";81;"CDI";35;30;1;0;"H";46;1;203;"3000€-4000€";"40 ans-40 ans"
"Commercial";"Non";58;"CDD";35;3;0;0;"F";45;1;204;"3000€-4000€";"40 ans-40 ans"
"Marketing";"Non";1;"CDI";24;21;1;0;"H";57;1;205;"6000€-7000€";"50 ans-60 ans"
"Informatique";"Non";74;"CDI";35;8;1;1;"F";45;1;206;"9000€-10000€";"40 ans-40 ans"
"Marketing";"Non";67;"CDI";35;12;1;0;"F";33;1;207;"1000€-2000€";"30 ans-40 ans"
"Marketing";"Non";19;"CDD";35;5;0;0;"H";36;0;208;"1000€-2000€";"30 ans-40 ans"
"RH";"Non";46;"CDI";35;22;1;0;"H";51;1;209;"4000€-5000€";"50 ans-60 ans"
"Consultant";"Non";18;"CDD";35;10;0;0;"F";45;1;210;"3000€-4000€";"40 ans-40 ans"
"Compta Finances";"Non";56;"CDI";35;23;0;0;"H";48;1;211;"3000€-4000€";"40 ans-40 ans"
"Consultant";"Non";90;"CDI";35;34;1;0;"F";44;1;212;"4000€-5000€";"40 ans-40 ans"
"Consultant";"Non";69;"CDI";35;18;0;0;"H";40;0;213;"1000€-2000€";"40 ans-40 ans"
"Compta Finances";"Non";70;"CDI";35;38;1;1;"H";48;1;214;"8000€-9000€";"40 ans-40 ans"
"Consultant";"Non";95;"CDI";35;24;1;0;"F";25;1;215;"2000€-3000€";"20 ans-30 ans"
"Commercial";"Non";80;"CDI";35;37;1;0;"H";55;0;216;"8000€-9000€";"50 ans-60 ans"
"RH";"Non";6;"CDI";35;3;0;0;"F";38;0;217;"7000€-8000€";"30 ans-40 ans"
"Compta Finances";"Non";70;"CDI";35;17;1;0;"F";59;1;218;"7000€-8000€";"50 ans-60 ans"
"Commercial";"Non";11;"CDI";35;1;0;0;"H";42;1;219;"9000€-10000€";"40 ans-40 ans"
"RH";"Non";80;"CDI";35;4;1;0;"H";60;1;220;"5000€-6000€";"60 ans ou plus"
"Consultant";"Non";15;"CDI";28;19;0;0;"H";44;0;221;"1000€-2000€";"40 ans-40 ans"
"Consultant";"Non";36;"CDI";35;35;0;0;"H";41;1;222;"3000€-4000€";"40 ans-40 ans"
"RH";"Non";92;"CDI";35;11;0;1;"H";48;1;223;"3000€-4000€";"40 ans-40 ans"
"Marketing";"Non";22;"CDI";35;21;1;0;"H";29;1;224;"2000€-3000€";"20 ans-30 ans"
"Marketing";"Oui";70;"CDI";35;2;1;0;"H";47;1;225;"6000€-7000€";"40 ans-40 ans"
"Commercial";"Oui";67;"CDI";35;0;0;0;"F";58;1;226;"3000€-4000€";"50 ans-60 ans"
"Consultant";"Non";87;"CDI";24;10;1;1;"H";50;0;227;"1000€-2000€";"50 ans-60 ans"
"RH";"Non";65;"CDI";35;19;0;0;"H";30;1;228;"3000€-4000€";"30 ans-40 ans"
"RH";"Non";88;"CDI";35;6;1;0;"H";65;1;229;"2000€-3000€";"60 ans ou plus"
"Consultant";"Oui";6;"CDD";32;21;0;0;"F";49;0;230;"2000€-3000€";"40 ans-40 ans"
"Compta Finances";"Non";12;"CDI";35;13;;0;"F";29;0;231;"2000€-3000€";"20 ans-30 ans"
"Marketing";"Non";64;"CDI";35;31;0;0;"H";56;1;232;"7000€-8000€";"50 ans-60 ans"
"Informatique";"Oui";8;"CDI";35;21;0;0;"H";58;1;233;"9000€-10000€";"50 ans-60 ans"
"Commercial";"Oui";60;"CDI";35;7;1;0;"F";48;0;234;"4000€-5000€";"40 ans-40 ans"
"Consultant";"Non";45;"CDI";35;27;0;0;"H";47;1;235;"1000€-2000€";"40 ans-40 ans"
"Consultant";"Non";51;"CDI";35;30;1;0;"F";45;1;236;"5000€-6000€";"40 ans-40 ans"
"Compta Finances";"Non";32;"CDI";35;14;0;0;"F";63;1;237;"8000€-9000€";"60 ans ou plus"
"Consultant";"Non";19;"CDI";35;13;0;0;"F";63;1;238;"3000€-4000€";"60 ans ou plus"
"Consultant";"Non";60;"CDI";35;18;1;1;"F";46;1;239;"2000€-3000€";"40 ans-40 ans"
"Informatique";"Non";35;"CDI";35;1;0;0;"H";37;1;240;"8000€-9000€";"30 ans-40 ans"
"Marketing";"Non";81;"CDI";35;23;1;1;"H";45;1;241;"5000€-6000€";"40 ans-40 ans"
"Commercial";"Non";56;"CDI";35;23;0;1;"H";46;1;242;"6000€-7000€";"40 ans-40 ans"
"Informatique";"Non";31;"CDI";35;26;0;0;"H";53;0;243;"7000€-8000€";"50 ans-60 ans"
"Commercial";"Non";15;"CDI";24;23;1;0;"F";51;1;244;"5000€-6000€";"50 ans-60 ans"
"Consultant";"Non";24;"CDI";35;12;0;0;"F";37;1;245;"7000€-8000€";"30 ans-40 ans"
"RH";"Non";7;"CDI";35;9;1;0;"F";61;1;246;"5000€-6000€";"60 ans ou plus"
"Compta Finances";"Oui";89;"CDI";35;33;0;0;"H";37;1;247;"2000€-3000€";"30 ans-40 ans"
"Marketing";"Non";25;"CDI";24;39;0;0;"H";31;1;248;"5000€-6000€";"30 ans-40 ans"
"RH";"Non";48;"CDI";24;37;0;0;"F";61;1;249;"3000€-4000€";"60 ans ou plus"
"Marketing";"Non";34;"CDI";35;27;0;0;"H";40;0;250;"9000€-10000€";"40 ans-40 ans"
